epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,219.214,1.81247,3.41369,1.23074,1.41775,0,0.91364,0.8186,0.87732,0.50699,0.85248,0.73906,0.73792,0.36124,1.85919,3.51569,1.10949,1.58134,0,0.00081685,0.00081685,0.00081685
39,224.887,1.8438,3.41855,1.27752,1.43856,0,0.81683,0.83637,0.84512,0.46183,0.77445,0.73136,0.72621,0.34699,2.00295,3.60468,1.13358,1.63514,0,0.0008119,0.0008119,0.0008119
40,230.57,1.81892,3.39004,1.20006,1.41015,0,0.91597,0.81043,0.8729,0.50118,0.8683,0.72056,0.73222,0.31671,1.8654,3.7605,1.03527,1.61691,0,0.00080695,0.00080695,0.00080695
41,236.33,1.83225,3.49717,1.2037,1.41678,0,0.88118,0.82067,0.86994,0.49782,0.84915,0.73738,0.76023,0.35466,1.89978,3.56377,1.03084,1.59001,0,0.000802,0.000802,0.000802
42,242.023,1.77232,3.3337,1.13406,1.38166,0,0.8179,0.67645,0.75954,0.38047,0.69238,0.55876,0.60404,0.24213,2.18556,3.95445,1.32738,1.7704,0,0.00079705,0.00079705,0.00079705
43,247.651,1.79918,3.35331,1.1989,1.40404,0,0.86277,0.80798,0.85121,0.44215,0.74914,0.67328,0.66106,0.29914,2.18265,4.0415,1.09218,1.73499,0,0.0007921,0.0007921,0.0007921
44,253.342,1.77805,3.32919,1.18614,1.3853,0,0.79335,0.76801,0.81341,0.42,0.67259,0.66998,0.6378,0.26292,2.14931,3.90162,1.20797,1.75315,0,0.00078715,0.00078715,0.00078715
45,259.036,1.82686,3.38149,1.20855,1.44481,0,0.87088,0.78128,0.82333,0.48116,0.77986,0.70269,0.69149,0.34042,1.91043,3.6292,1.26504,1.63353,0,0.0007822,0.0007822,0.0007822
46,264.755,1.79555,3.26734,1.16206,1.39878,0,0.89707,0.75706,0.82623,0.43732,0.78346,0.65398,0.65856,0.27821,2.14576,3.89421,1.27326,1.7365,0,0.00077725,0.00077725,0.00077725
47,270.475,1.74914,3.30695,1.1402,1.38293,0,0.91501,0.81841,0.88917,0.53563,0.86276,0.7419,0.7706,0.36198,1.82801,3.4551,0.97414,1.55656,0,0.0007723,0.0007723,0.0007723
