epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,147.379,1.57251,3.03775,1.15513,1.45961,0,0.89013,0.77075,0.8723,0.46291,0.6799,0.59214,0.5378,0.23061,1.7792,3.54187,1.08441,1.64243,0,0.000330233,0.000330233,0.000330233
83,149.152,1.53701,3.02635,1.12247,1.41889,0,0.79762,0.79684,0.8445,0.46374,0.66376,0.55162,0.53761,0.2226,1.757,3.52818,1.12316,1.63482,0,0.000313729,0.000313729,0.000313729
84,150.909,1.52105,2.98015,1.09185,1.40222,0,0.88852,0.80943,0.87522,0.48994,0.73611,0.67442,0.64476,0.27585,1.70616,3.38075,1.00457,1.63352,0,0.000297226,0.000297226,0.000297226
85,152.687,1.50455,2.9061,1.10577,1.41444,0,0.78019,0.77698,0.83737,0.44376,0.59332,0.61741,0.55602,0.23243,1.79916,3.52051,1.13179,1.65907,0,0.000280723,0.000280723,0.000280723
86,154.456,1.54069,2.94605,1.10869,1.42028,0,0.74097,0.81074,0.86684,0.45148,0.55775,0.65376,0.56305,0.20975,1.77707,3.47158,1.14644,1.64908,0,0.00026422,0.00026422,0.00026422
87,156.209,1.47326,2.80709,1.08195,1.38845,0,0.86217,0.79168,0.88913,0.47771,0.74468,0.66597,0.64562,0.25452,1.74637,3.45533,0.97653,1.62358,0,0.000247716,0.000247716,0.000247716
88,157.963,1.48477,2.96587,1.10144,1.42092,0,0.87369,0.83842,0.88741,0.48735,0.72049,0.64947,0.58516,0.23644,1.799,3.60897,0.98503,1.66038,0,0.000231213,0.000231213,0.000231213
89,159.727,1.51819,3.04073,1.13527,1.43811,0,0.83886,0.81209,0.86126,0.44204,0.70548,0.63595,0.58565,0.24597,1.83736,3.57522,1.07829,1.7416,0,0.00021471,0.00021471,0.00021471
90,161.497,1.47754,2.90435,1.08383,1.36906,0,0.84794,0.81286,0.85531,0.48252,0.73785,0.63617,0.63069,0.26573,1.65577,3.3654,1.01319,1.61763,0,0.000198206,0.000198206,0.000198206
91,164.032,1.32708,2.76514,0.81737,1.33959,0,0.85025,0.83859,0.87788,0.47089,0.78321,0.62253,0.63187,0.25547,1.77325,3.46434,1.035,1.67406,0,0.000181703,0.000181703,0.000181703
92,165.763,1.3616,2.81228,0.80849,1.35478,0,0.86635,0.88932,0.89597,0.50439,0.68431,0.67354,0.60188,0.27285,1.67069,3.33935,0.98229,1.58678,0,0.0001652,0.0001652,0.0001652
93,167.522,1.29019,2.74463,0.81486,1.30922,0,0.82041,0.77297,0.83357,0.45664,0.66365,0.64238,0.59414,0.24237,1.78186,3.47972,1.08925,1.67424,0,0.000148696,0.000148696,0.000148696
94,169.276,1.32034,2.75195,0.81506,1.32539,0,0.84237,0.82376,0.87762,0.48992,0.69567,0.6208,0.5907,0.25331,1.6606,3.4249,1.07673,1.57631,0,0.000132193,0.000132193,0.000132193
95,171.009,1.31024,2.64257,0.80635,1.34201,0,0.84007,0.88078,0.91131,0.50572,0.75328,0.67098,0.65213,0.27618,1.70141,3.44857,0.96618,1.60642,0,0.00011569,0.00011569,0.00011569
96,172.762,1.26387,2.7197,0.7793,1.30184,0,0.84213,0.85504,0.89763,0.51327,0.74939,0.67466,0.65947,0.29193,1.59216,3.2925,0.94439,1.55414,0,9.91865e-05,9.91865e-05,9.91865e-05
97,174.504,1.24604,2.68367,0.76735,1.30553,0,0.835,0.86551,0.88272,0.51728,0.71989,0.65818,0.60981,0.26935,1.62399,3.38337,0.94711,1.5582,0,8.26832e-05,8.26832e-05,8.26832e-05
98,176.244,1.20431,2.64514,0.77258,1.27673,0,0.80166,0.8534,0.87848,0.50661,0.69885,0.63432,0.61807,0.27516,1.62094,3.32808,0.9884,1.56485,0,6.61799e-05,6.61799e-05,6.61799e-05
99,177.978,1.22708,2.67787,0.74496,1.29674,0,0.81532,0.82961,0.87244,0.49433,0.68063,0.69542,0.62796,0.25448,1.70546,3.45813,0.98249,1.61307,0,4.96766e-05,4.96766e-05,4.96766e-05
100,179.718,1.1869,2.62056,0.75064,1.26242,0,0.82457,0.8426,0.87598,0.5047,0.66673,0.68715,0.63641,0.26199,1.68891,3.44008,0.97795,1.61144,0,3.31733e-05,3.31733e-05,3.31733e-05
