epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,378.45,1.69218,3.1454,0.99435,1.37251,0,0.93145,0.84335,0.91529,0.53157,0.86087,0.77892,0.79271,0.3757,1.82278,3.44654,0.83925,1.53628,0,0.0006931,0.0006931,0.0006931
64,384.316,1.72105,3.1535,0.99954,1.35755,0,0.87813,0.8888,0.91259,0.51699,0.84132,0.81236,0.80133,0.36253,1.98245,3.56541,0.8511,1.64621,0,0.00068815,0.00068815,0.00068815
65,390.178,1.67184,3.21452,1.00429,1.34888,0,0.91213,0.84454,0.89078,0.49589,0.86364,0.75833,0.77469,0.3484,1.97112,3.6414,0.88548,1.65194,0,0.0006832,0.0006832,0.0006832
66,396.061,1.72071,3.21342,1.03326,1.37945,0,0.88121,0.89531,0.90793,0.5371,0.86575,0.76855,0.78955,0.38869,1.88802,3.44645,0.79351,1.59396,0,0.00067825,0.00067825,0.00067825
67,401.964,1.64966,3.08869,0.99347,1.32777,0,0.87796,0.88009,0.89702,0.50993,0.82233,0.79166,0.77874,0.37495,1.91057,3.46158,0.84484,1.59516,0,0.0006733,0.0006733,0.0006733
68,407.852,1.65257,3.08503,0.99436,1.3209,0,0.90399,0.85114,0.91328,0.5095,0.82606,0.75556,0.77072,0.37521,1.95707,3.49378,0.85701,1.63122,0,0.00066835,0.00066835,0.00066835
69,413.838,1.68785,3.10739,0.99407,1.34677,0,0.84225,0.86454,0.90845,0.54622,0.79728,0.79681,0.80702,0.41069,1.81242,3.2549,0.81497,1.54385,0,0.0006634,0.0006634,0.0006634
70,419.732,1.6415,3.09549,0.97108,1.32617,0,0.82404,0.85363,0.88221,0.54383,0.84189,0.73127,0.77758,0.38335,1.80596,3.37256,0.88476,1.55195,0,0.00065845,0.00065845,0.00065845
71,425.658,1.61824,3.04315,0.9499,1.30454,0,0.90201,0.85886,0.90561,0.54705,0.86474,0.78896,0.81023,0.44106,1.78842,3.1274,0.79277,1.51308,0,0.0006535,0.0006535,0.0006535
72,431.595,1.66014,3.03957,0.96575,1.32949,0,0.88618,0.86439,0.89418,0.55615,0.83579,0.81169,0.81516,0.43275,1.72831,3.23065,0.84491,1.49617,0,0.00064855,0.00064855,0.00064855
73,437.523,1.67036,3.08956,0.94857,1.34228,0,0.82404,0.84346,0.89105,0.51273,0.81594,0.75727,0.79816,0.38624,1.83839,3.37083,0.87727,1.57418,0,0.0006436,0.0006436,0.0006436
74,443.445,1.64309,3.05165,0.95514,1.33102,0,0.93776,0.86242,0.91619,0.56569,0.87352,0.81621,0.81297,0.41357,1.71578,3.26766,0.74171,1.51055,0,0.00063865,0.00063865,0.00063865
75,449.326,1.60686,3.0725,0.98475,1.3025,0,0.91834,0.84409,0.90213,0.56487,0.86975,0.80114,0.81163,0.42,1.69504,3.2451,0.78545,1.51864,0,0.0006337,0.0006337,0.0006337
76,455.326,1.61108,3.0802,0.9423,1.30815,0,0.89776,0.87717,0.91705,0.56416,0.86633,0.80996,0.80998,0.41901,1.73189,3.14601,0.76019,1.49301,0,0.00062875,0.00062875,0.00062875
