[INFO] Session log file: dataset/debug/session_20260520_164514.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2616465765, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=59, depth_sets=58, color=1280×720,OBFormat.RGB,ts=2616471318, depth=640×576,OBFormat.Y16,ts=2616471319
[DEBUG] frames: total=60, depth_sets=59, color=1280×720,OBFormat.RGB,ts=2616471418, depth=640×576,OBFormat.Y16,ts=2616471419
[DEBUG] frames: total=61, depth_sets=60, color=1280×720,OBFormat.RGB,ts=2616471484, depth=640×576,OBFormat.Y16,ts=2616471485
[DEBUG] frames: total=62, depth_sets=61, color=1280×720,OBFormat.RGB,ts=2616471584, depth=640×576,OBFormat.Y16,ts=2616471585
[DEBUG] frames: total=63, depth_sets=62, color=1280×720,OBFormat.RGB,ts=2616471684, depth=640×576,OBFormat.Y16,ts=2616471685
[DEBUG] frames: total=64, depth_sets=63, color=1280×720,OBFormat.RGB,ts=2616471783, depth=640×576,OBFormat.Y16,ts=2616471784
[DEBUG] frames: total=65, depth_sets=64, color=1280×720,OBFormat.RGB,ts=2616471850, depth=640×576,OBFormat.Y16,ts=2616471851
[DEBUG] frames: total=66, depth_sets=65, color=1280×720,OBFormat.RGB,ts=2616471950, depth=640×576,OBFormat.Y16,ts=2616471951
[DEBUG] frames: total=67, depth_sets=66, color=1280×720,OBFormat.RGB,ts=2616472016, depth=640×576,OBFormat.Y16,ts=2616472017
[DEBUG] frames: total=68, depth_sets=67, color=1280×720,OBFormat.RGB,ts=2616472116, depth=640×576,OBFormat.Y16,ts=2616472117
[DEBUG] frames: total=69, depth_sets=68, color=1280×720,OBFormat.RGB,ts=2616472216, depth=640×576,OBFormat.Y16,ts=2616472217
[DEBUG] frames: total=70, depth_sets=69, color=1280×720,OBFormat.RGB,ts=2616472315, depth=640×576,OBFormat.Y16,ts=2616472316
[DEBUG] frames: total=71, depth_sets=70, color=1280×720,OBFormat.RGB,ts=2616472382, depth=640×576,OBFormat.Y16,ts=2616472383
[DEBUG] frames: total=72, depth_sets=71, color=1280×720,OBFormat.RGB,ts=2616472482, depth=640×576,OBFormat.Y16,ts=2616472483
