[INFO] Session log file: dataset/debug/session_20260519_180445.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835624, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835691, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835724, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=88, depth_sets=85, color=1280×720,OBFormat.RGB,ts=2534844037, depth=640×576,OBFormat.Y16,ts=2534844038
[DEBUG] frames: total=89, depth_sets=86, color=1280×720,OBFormat.RGB,ts=2534844104, depth=640×576,OBFormat.Y16,ts=2534844105
[DEBUG] frames: total=90, depth_sets=87, color=1280×720,OBFormat.RGB,ts=2534844203, depth=640×576,OBFormat.Y16,ts=2534844205
[DEBUG] frames: total=91, depth_sets=88, color=1280×720,OBFormat.RGB,ts=2534844270, depth=640×576,OBFormat.Y16,ts=2534844271
[DEBUG] frames: total=92, depth_sets=89, color=1280×720,OBFormat.RGB,ts=2534844336, depth=640×576,OBFormat.Y16,ts=2534844338
[DEBUG] frames: total=93, depth_sets=90, color=1280×720,OBFormat.RGB,ts=2534844436, depth=640×576,OBFormat.Y16,ts=2534844437
[DEBUG] frames: total=94, depth_sets=91, color=1280×720,OBFormat.RGB,ts=2534844536, depth=640×576,OBFormat.Y16,ts=2534844537
[DEBUG] frames: total=95, depth_sets=92, color=1280×720,OBFormat.RGB,ts=2534844602, depth=640×576,OBFormat.Y16,ts=2534844604
[DEBUG] frames: total=96, depth_sets=93, color=1280×720,OBFormat.RGB,ts=2534844702, depth=640×576,OBFormat.Y16,ts=2534844703
[DEBUG] frames: total=97, depth_sets=94, color=1280×720,OBFormat.RGB,ts=2534844769, depth=640×576,OBFormat.Y16,ts=2534844770
[DEBUG] frames: total=98, depth_sets=95, color=1280×720,OBFormat.RGB,ts=2534844868, depth=640×576,OBFormat.Y16,ts=2534844870
[DEBUG] frames: total=99, depth_sets=96, color=1280×720,OBFormat.RGB,ts=2534844935, depth=640×576,OBFormat.Y16,ts=2534844936
[DEBUG] frames: total=100, depth_sets=97, color=1280×720,OBFormat.RGB,ts=2534845035, depth=640×576,OBFormat.Y16,ts=2534845036
[DEBUG] frames: total=101, depth_sets=98, color=1280×720,OBFormat.RGB,ts=2534845101, depth=640×576,OBFormat.Y16,ts=2534845102
[DEBUG] frames: total=102, depth_sets=99, color=1280×720,OBFormat.RGB,ts=2534845201, depth=640×576,OBFormat.Y16,ts=2534845202
[DEBUG] frames: total=103, depth_sets=100, color=1280×720,OBFormat.RGB,ts=2534845268, depth=640×576,OBFormat.Y16,ts=2534845269
[DEBUG] frames: total=104, depth_sets=101, color=1280×720,OBFormat.RGB,ts=2534845367, depth=640×576,OBFormat.Y16,ts=2534845368
[DEBUG] frames: total=105, depth_sets=102, color=1280×720,OBFormat.RGB,ts=2534845434, depth=640×576,OBFormat.Y16,ts=2534845435
[DEBUG] frames: total=106, depth_sets=103, color=1280×720,OBFormat.RGB,ts=2534845500, depth=640×576,OBFormat.Y16,ts=2534845501
[DEBUG] frames: total=107, depth_sets=104, color=1280×720,OBFormat.RGB,ts=2534845600, depth=640×576,OBFormat.Y16,ts=2534845601
[DEBUG] frames: total=108, depth_sets=105, color=1280×720,OBFormat.RGB,ts=2534845667, depth=640×576,OBFormat.Y16,ts=2534845668
[DEBUG] frames: total=109, depth_sets=106, color=1280×720,OBFormat.RGB,ts=2534845766, depth=640×576,OBFormat.Y16,ts=2534845767
[DEBUG] frames: total=110, depth_sets=107, color=1280×720,OBFormat.RGB,ts=2534845833, depth=640×576,OBFormat.Y16,ts=2534845834
[DEBUG] frames: total=111, depth_sets=108, color=1280×720,OBFormat.RGB,ts=2534845933, depth=640×576,OBFormat.Y16,ts=2534845934
[DEBUG] frames: total=112, depth_sets=109, color=1280×720,OBFormat.RGB,ts=2534845999, depth=640×576,OBFormat.Y16,ts=2534846000
[DEBUG] frames: total=113, depth_sets=110, color=1280×720,OBFormat.RGB,ts=2534846099, depth=640×576,OBFormat.Y16,ts=2534846100
[DEBUG] frames: total=114, depth_sets=111, color=1280×720,OBFormat.RGB,ts=2534846199, depth=640×576,OBFormat.Y16,ts=2534846200
[DEBUG] frames: total=115, depth_sets=112, color=1280×720,OBFormat.RGB,ts=2534846265, depth=640×576,OBFormat.Y16,ts=2534846266
[DEBUG] frames: total=116, depth_sets=113, color=1280×720,OBFormat.RGB,ts=2534846365, depth=640×576,OBFormat.Y16,ts=2534846366
[DEBUG] frames: total=117, depth_sets=114, color=1280×720,OBFormat.RGB,ts=2534846431, depth=640×576,OBFormat.Y16,ts=2534846432
[DEBUG] frames: total=118, depth_sets=115, color=1280×720,OBFormat.RGB,ts=2534846531, depth=640×576,OBFormat.Y16,ts=2534846532
[DEBUG] frames: total=119, depth_sets=116, color=1280×720,OBFormat.RGB,ts=2534846598, depth=640×576,OBFormat.Y16,ts=2534846599
[DEBUG] frames: total=120, depth_sets=117, color=1280×720,OBFormat.RGB,ts=2534846697, depth=640×576,OBFormat.Y16,ts=2534846698
[DEBUG] frames: total=121, depth_sets=118, color=1280×720,OBFormat.RGB,ts=2534846797, depth=640×576,OBFormat.Y16,ts=2534846798
[DEBUG] frames: total=122, depth_sets=119, color=1280×720,OBFormat.RGB,ts=2534846864, depth=640×576,OBFormat.Y16,ts=2534846865
[DEBUG] frames: total=123, depth_sets=120, color=1280×720,OBFormat.RGB,ts=2534846963, depth=640×576,OBFormat.Y16,ts=2534846964
[DEBUG] frames: total=124, depth_sets=121, color=1280×720,OBFormat.RGB,ts=2534847030, depth=640×576,OBFormat.Y16,ts=2534847031
[DEBUG] frames: total=125, depth_sets=122, color=1280×720,OBFormat.RGB,ts=2534847096, depth=640×576,OBFormat.Y16,ts=2534847097
[DEBUG] frames: total=126, depth_sets=123, color=1280×720,OBFormat.RGB,ts=2534847196, depth=640×576,OBFormat.Y16,ts=2534847197
[DEBUG] frames: total=127, depth_sets=124, color=1280×720,OBFormat.RGB,ts=2534847263, depth=640×576,OBFormat.Y16,ts=2534847264
[DEBUG] frames: total=128, depth_sets=125, color=1280×720,OBFormat.RGB,ts=2534847362, depth=640×576,OBFormat.Y16,ts=2534847363
[DEBUG] frames: total=129, depth_sets=126, color=1280×720,OBFormat.RGB,ts=2534847429, depth=640×576,OBFormat.Y16,ts=2534847430
[DEBUG] frames: total=130, depth_sets=127, color=1280×720,OBFormat.RGB,ts=2534847529, depth=640×576,OBFormat.Y16,ts=2534847530
[DEBUG] frames: total=131, depth_sets=128, color=1280×720,OBFormat.RGB,ts=2534847628, depth=640×576,OBFormat.Y16,ts=2534847629
[DEBUG] frames: total=132, depth_sets=129, color=1280×720,OBFormat.RGB,ts=2534847695, depth=640×576,OBFormat.Y16,ts=2534847696
[DEBUG] frames: total=133, depth_sets=130, color=1280×720,OBFormat.RGB,ts=2534847761, depth=640×576,OBFormat.Y16,ts=2534847762
[DEBUG] frames: total=134, depth_sets=131, color=1280×720,OBFormat.RGB,ts=2534847894, depth=640×576,OBFormat.Y16,ts=2534847895
[DEBUG] frames: total=135, depth_sets=132, color=1280×720,OBFormat.RGB,ts=2534847961, depth=640×576,OBFormat.Y16,ts=2534847962
[DEBUG] frames: total=136, depth_sets=133, color=1280×720,OBFormat.RGB,ts=2534848061, depth=640×576,OBFormat.Y16,ts=2534848062
[DEBUG] frames: total=137, depth_sets=134, color=1280×720,OBFormat.RGB,ts=2534848160, depth=640×576,OBFormat.Y16,ts=2534848161
[DEBUG] frames: total=138, depth_sets=135, color=1280×720,OBFormat.RGB,ts=2534848227, depth=640×576,OBFormat.Y16,ts=2534848228
[DEBUG] frames: total=139, depth_sets=136, color=1280×720,OBFormat.RGB,ts=2534848293, depth=640×576,OBFormat.Y16,ts=2534848294
[DEBUG] frames: total=140, depth_sets=137, color=1280×720,OBFormat.RGB,ts=2534848393, depth=640×576,OBFormat.Y16,ts=2534848394
[DEBUG] frames: total=141, depth_sets=138, color=1280×720,OBFormat.RGB,ts=2534848460, depth=640×576,OBFormat.Y16,ts=2534848461
[DEBUG] frames: total=142, depth_sets=139, color=1280×720,OBFormat.RGB,ts=2534848559, depth=640×576,OBFormat.Y16,ts=2534848560
[DEBUG] frames: total=143, depth_sets=140, color=1280×720,OBFormat.RGB,ts=2534848626, depth=640×576,OBFormat.Y16,ts=2534848627
[DEBUG] frames: total=144, depth_sets=141, color=1280×720,OBFormat.RGB,ts=2534848726, depth=640×576,OBFormat.Y16,ts=2534848727
[DEBUG] frames: total=145, depth_sets=142, color=1280×720,OBFormat.RGB,ts=2534848792, depth=640×576,OBFormat.Y16,ts=2534848793
[DEBUG] frames: total=146, depth_sets=143, color=1280×720,OBFormat.RGB,ts=2534848892, depth=640×576,OBFormat.Y16,ts=2534848893
[DEBUG] frames: total=147, depth_sets=144, color=1280×720,OBFormat.RGB,ts=2534848958, depth=640×576,OBFormat.Y16,ts=2534848959
[DEBUG] frames: total=148, depth_sets=145, color=1280×720,OBFormat.RGB,ts=2534849058, depth=640×576,OBFormat.Y16,ts=2534849059
[DEBUG] frames: total=149, depth_sets=146, color=1280×720,OBFormat.RGB,ts=2534849125, depth=640×576,OBFormat.Y16,ts=2534849126
[DEBUG] frames: total=150, depth_sets=147, color=1280×720,OBFormat.RGB,ts=2534849224, depth=640×576,OBFormat.Y16,ts=2534849225
[DEBUG] frames: total=151, depth_sets=148, color=1280×720,OBFormat.RGB,ts=2534849291, depth=640×576,OBFormat.Y16,ts=2534849292
[DEBUG] frames: total=152, depth_sets=149, color=1280×720,OBFormat.RGB,ts=2534849391, depth=640×576,OBFormat.Y16,ts=2534849392
[DEBUG] frames: total=153, depth_sets=150, color=1280×720,OBFormat.RGB,ts=2534849490, depth=640×576,OBFormat.Y16,ts=2534849491
[DEBUG] frames: total=154, depth_sets=151, color=1280×720,OBFormat.RGB,ts=2534849557, depth=640×576,OBFormat.Y16,ts=2534849558
[DEBUG] frames: total=155, depth_sets=152, color=1280×720,OBFormat.RGB,ts=2534849623, depth=640×576,OBFormat.Y16,ts=2534849625
[DEBUG] frames: total=156, depth_sets=153, color=1280×720,OBFormat.RGB,ts=2534849690, depth=640×576,OBFormat.Y16,ts=2534849691
[DEBUG] frames: total=157, depth_sets=154, color=1280×720,OBFormat.RGB,ts=2534849790, depth=640×576,OBFormat.Y16,ts=2534849791
[DEBUG] frames: total=158, depth_sets=155, color=1280×720,OBFormat.RGB,ts=2534849856, depth=640×576,OBFormat.Y16,ts=2534849857
[DEBUG] frames: total=159, depth_sets=156, color=1280×720,OBFormat.RGB,ts=2534849889, depth=640×576,OBFormat.Y16,ts=2534849891
[DEBUG] frames: total=160, depth_sets=157, color=1280×720,OBFormat.RGB,ts=2534850056, depth=640×576,OBFormat.Y16,ts=2534850057
[DEBUG] frames: total=161, depth_sets=158, color=1280×720,OBFormat.RGB,ts=2534850322, depth=640×576,OBFormat.Y16,ts=2534850323
[DEBUG] frames: total=162, depth_sets=159, color=1280×720,OBFormat.RGB,ts=2534850455, depth=640×576,OBFormat.Y16,ts=2534850456
[DEBUG] frames: total=163, depth_sets=160, color=1280×720,OBFormat.RGB,ts=2534850621, depth=640×576,OBFormat.Y16,ts=2534850622
[DEBUG] frames: total=164, depth_sets=161, color=1280×720,OBFormat.RGB,ts=2534850687, depth=640×576,OBFormat.Y16,ts=2534850689
[DEBUG] frames: total=165, depth_sets=162, color=1280×720,OBFormat.RGB,ts=2534850821, depth=640×576,OBFormat.Y16,ts=2534850822
